,beta1,beta2,lr,num_epochs,weight_decay,arm_name,metric_name,mean,sem,trial_index
0,0.4827509329319,0.9094114503264428,0.02063073197735784,15.0,0.23109607100486754,0_0,online,0.9705,0.0,0
1,0.6517763174772263,0.5522284430265426,0.0038018087662809582,9.0,0.06252274811267852,0_1,online,0.9805,0.0,0
2,0.014901898048818111,0.09944943161308765,0.00028779810046803875,5.0,0.17330955862998962,0_2,online,0.9016666666666666,0.0,0
3,0.6240024266839027,0.7681156550645828,0.00016768386796669712,11.0,0.07727751731872558,0_3,online,0.9208333333333333,0.0,0
4,0.23102391850948334,0.3128356775343418,0.012468250691307395,8.0,0.2710683703422546,0_4,online,0.975,0.0,0
5,0.5363352113512734,0.5422970002497365,0.011939274678314408,10.0,0.1455957874244452,1_0,online,0.9746666666666667,0.0,1
6,0.7721867571111437,0.49859246376596683,0.008225636941198882,8.0,2.289006243990547e-19,1_1,online,0.9758333333333333,0.0,1
7,0.2680121954386409,0.5905912779073184,0.022406487306687418,12.0,0.3,1_2,online,0.9713333333333334,0.0,1
8,0.6528527682755267,0.80273875306604,0.009471726553358753,13.0,0.07471521494382517,1_3,online,0.9806666666666667,0.0,1
9,0.7639624206531772,0.37893836701099154,0.004155813931287303,6.0,0.11473847242537213,1_4,online,0.973,0.0,1
10,0.8248742570568873,0.7122865069031183,0.007428313101628117,10.0,0.12127267004490508,2_0,online,0.9828333333333333,0.0,2
11,0.6240951193883807,0.42903747580183293,0.008217370045449077,14.0,0.06836746350062026,2_1,online,0.9748333333333333,0.0,2
12,0.46594807716985187,0.8714686506209377,0.009811440233860469,8.0,0.0645122462085119,2_2,online,0.977,0.0,2
13,0.6979766777617034,0.31615737760185647,0.009505115772476338,10.0,0.2817607601274888,2_3,online,0.9725,0.0,2
14,0.247273140869745,0.6992750339028261,0.013236346308655191,14.0,0.07176577012485454,2_4,online,0.978,0.0,2
15,0.7330670260846719,0.5373736536891378,0.005106618710147705,13.0,0.13259029471161735,3_0,online,0.9783333333333334,0.0,3
16,0.7091804798397345,0.999,0.004992412014483862,7.0,0.10566196724040586,3_1,online,0.9716666666666667,0.0,3
17,0.999,0.3158103843959093,0.005260191213874925,13.0,0.09311420730701496,3_2,online,0.5696666666666667,0.0,3
18,0.48494931664817886,0.6341224884511975,0.006195791212022056,11.0,0.04789361261972065,3_3,online,0.9811666666666666,0.0,3
19,0.4551206112193428,0.9864269651303479,0.005992312188823644,10.0,0.24606215745198845,3_4,online,0.9833333333333333,0.0,3
20,0.6724527967572212,0.9742600480914115,0.0003073409386401838,6.0,0.182975435256958,0_0,online,0.9261666666666667,0.0,0
21,0.2648567850887775,0.5696218469738961,0.0006323238023699387,4.0,0.03942205756902695,0_1,online,0.9355,0.0,0
22,0.800782361805439,0.1658994336873293,0.005531547776251838,12.0,0.2555007040500641,0_2,online,0.9726666666666667,0.0,0
23,0.4109125513136387,0.8051318292617797,0.01536250526432823,2.0,0.10046899616718293,0_3,online,0.9631666666666666,0.0,0
24,0.9039886239767074,0.45722483763098715,0.0017677161617152292,14.0,0.20404735207557678,0_4,online,0.9783333333333334,0.0,0
25,0.9086301841766536,0.2392738212924767,0.004238047582646384,15.0,0.23607321539337592,1_0,online,0.979,0.0,1
26,0.7827029158099494,0.2840530295474564,0.0013410205803399446,12.0,0.24003544620784856,1_1,online,0.9801666666666666,0.0,1
27,0.8449880737668707,0.40172177825183303,0.012536992260167303,12.0,0.21500119829467854,1_2,online,0.9343333333333333,0.0,1
28,0.6655408592267896,0.3491570176389791,0.0034354074757701443,15.0,0.29101140096849515,1_3,online,0.9815,0.0,1
29,0.999,0.11234620581140876,0.002154616216354846,12.0,0.19494260693431228,1_4,online,0.8991666666666667,0.0,1
30,0.7967360882888717,0.3809820730650759,0.0015771978223073156,15.0,0.2523720569752792,2_0,online,0.9796666666666667,0.0,2
31,0.6766066481214204,0.2501026520908412,0.0021279531167924005,15.0,0.23393262528762487,2_1,online,0.9815,0.0,2
32,0.8394210442738748,0.3690159650583641,0.0017691517923527095,14.0,0.29896274776945364,2_2,online,0.9806666666666667,0.0,2
33,0.7296166737482559,0.5294187197400434,0.0005595961235666245,15.0,0.2259323449237653,2_3,online,0.971,0.0,2
34,0.6331919539047907,0.25018054671159773,0.0011496963686830014,12.0,0.2988836418368085,2_4,online,0.9753333333333334,0.0,2
35,0.7673018916678016,0.27357565616779944,0.009244699946514312,14.0,0.2606230058352984,3_0,online,0.9708333333333333,0.0,3
36,0.5666627435082943,0.36729469882973836,0.013321268537193402,10.0,0.2687848919791522,3_1,online,0.9756666666666667,0.0,3
37,0.8466742718079782,0.2107009347977402,0.0017090059993454924,15.0,0.2757015707963885,3_2,online,0.9796666666666667,0.0,3
38,0.999,0.3275569726044551,0.07423018069433832,15.0,0.2710899021619198,3_3,online,0.09266666666666666,0.0,3
39,0.39102175840802417,0.47214844165672365,0.01485153480833486,15.0,0.21668193336491373,3_4,online,0.9773333333333334,0.0,3
40,0.8509635275602341,0.7510967298746108,0.0004345726473519759,13.0,0.21040372252464293,0_0,online,0.963,0.0,0
41,0.49597692838311197,0.6265648283958435,0.001058178132710427,11.0,0.13876047134399414,0_1,online,0.9688333333333333,0.0,0
42,0.6000119086503982,0.3523160338997841,0.0038432640788187843,6.0,0.2647543251514435,0_2,online,0.978,0.0,0
43,0.3524032673835754,0.878727533876896,0.01183923895801371,9.0,0.010585049539804459,0_3,online,0.9768333333333333,0.0,0
44,0.7359488289356232,0.10893348276615143,0.001360198219248635,8.0,0.1857996940612793,0_4,online,0.9721666666666666,0.0,0
45,0.45502328753291627,0.3122534338977356,0.008125264276588957,5.0,0.15557953313307366,1_0,online,0.9738333333333333,0.0,1
46,0.6912494911448834,0.03522633563899946,0.002292932807996399,5.0,0.3,1_1,online,0.9701666666666666,0.0,1
47,0.007264412038108341,0.8281498581240185,0.006975781579726737,10.0,0.0,1_2,online,0.9793333333333333,0.0,1
